trade_name,city,zip,license_start_date,expiration_date,naics_description
KAKAO COFFEE,SEATTLE,98109,20180101,,Snack and Nonalcoholic Beverage Bars
70 & SUNNY COFFEE CO,SEATTLE,98121-1135,20251001,,Snack and Nonalcoholic Beverage Bars
ACQUAINTANCE COFFEE,SEATTLE,98104-2024,20231210,,Mobile Food Services
AFRIK GROCERY & COFFEE SHOP LLC,SEATTLE,98108,20150101,,Convenience Retailers
ALCHEMY HARVEST COFFEE,SEATTLE,98126-3325,20250201,,All Other Specialty Food Retailers
EAST COFFEE SHOP & MONEY MARKET,SEATTLE,98118,20130101,,Supermarkets and Other Grocery Retailers (except Convenience Retailers)
ALL CITY COFFEE COMPANY LLC,SEATTLE,98108,20010701,,All Other Miscellaneous Retailers
ANCHORHEAD COFFEE,SEATTLE,98122-4415,20220210,,Snack and Nonalcoholic Beverage Bars
ANCHORHEAD COFFEE,SEATTLE,98101-2288,20161001,,All Other Specialty Food Retailers
ANCHORHEAD COFFEE,SEATTLE,98121-2161,20200808,,Snack and Nonalcoholic Beverage Bars
ANCIENT GATE COFFEE,SEATTLE,98105-4511,20240914,,Snack and Nonalcoholic Beverage Bars
INTERSTATE GREEN COFFEE SUPPLIES,SHORELINE,98155,20010701,,Other Grocery and Related Products Merchant Wholesalers
ARMISTICE COFFEE ROASTER,SEATTLE,98102-4099,20180715,,Limited-Service Restaurants
ARMISTICE COFFEE,SEATTLE,98115-6681,20190705,,Limited-Service Restaurants
ARMISTICE COFFEE,SEATTLE,98101,20220808,,Limited-Service Restaurants
ASSEMBLY COFFEE,SEATTLE,98107-5206,20220802,,Mobile Food Services
ATOMO COFFEE INC,SEATTLE,98144-2722,20200101,,Coffee and Tea Manufacturing
AUFE COFFEE,FEDERAL WAY,98003-8622,20250818,,Caterers
BROTHERS COFFEE COMPANY LLC,SEATTLE,98109-4623,20231124,,Limited-Service Restaurants
BAUHAUS STRONG COFFEE,SEATTLE,98102-6282,20190912,,Drinking Places (Alcoholic Beverages)
BEARLY AWAKE COFFEE CO,COUPEVILLE,98239-9684,20240809,,Mobile Food Services
BENAROYA HONOR COFFEE,SEATTLE,98101-3428,20170101,,Snack and Nonalcoholic Beverage Bars
BOON BOONA COFFEE,SEATTLE,98122-4478,20210107,,"Cafeterias, Grill Buffets, and Buffets"
BOON BOONA COFFEE,SEATTLE,98105-5809,20230214,,"Cafeterias, Grill Buffets, and Buffets"
BOON BOONA COFFEE,SEATTLE,98101-1521,20250601,,Full-Service Restaurants
BETTER BREW COFFEE SUPPLY,SEATTLE,98199-1536,20250601,,All Other Miscellaneous Retailers
BLACK ARROWS COFFEE,SEATTLE,98121-1851,20231001,,Limited-Service Restaurants
BLACK COFFEE NORTHWEST,SEATTLE,98144-2369,20210701,,Snack and Nonalcoholic Beverage Bars
BLACK STASH COFFEE ROASTERS,SEATTLE,98106-2717,20240529,,Snack and Nonalcoholic Beverage Bars
BLAND COFFEE PUBLISHING LLC,SEATTLE,98122-5020,20230601,,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations)"
BLEND COFFEE AND KICKS,SEATTLE,98109-5748,20241214,,Snack and Nonalcoholic Beverage Bars
ARTLY COFFEE,SEATTLE,98101,20230201,,Limited-Service Restaurants
ARTLY COFFEE,SEATTLE,98101-2161,20221001,,Snack and Nonalcoholic Beverage Bars
BLUE RIDGE COFFEE HOUSE,SEATTLE,98117-2319,20240501,,Limited-Service Restaurants
BLUE RIDGE COFFEE HOUSE,SEATTLE,98117-2319,20251201,,Limited-Service Restaurants
BONHOMIE COFFEE BAR,SEATTLE,98121-1182,20250101,,Mobile Food Services
BREWIN AROUND COFFEE CO,MOUNTLAKE TERRACE,98043-5601,20100913,,Mobile Food Services
C & P COFFEE COMPANY,SEATTLE,98136-1515,20140101,,Limited-Service Restaurants
CAFE FONTE COFFEE CO,SEATTLE,98101-2002,20090801,,Limited-Service Restaurants
MAGNOLIA COFFEE ROASTING CO,SEATTLE,98199-1201,19920302,,All Other Specialty Food Retailers
TWO KICK COFFEE,SEATTLE,98109-1626,20200713,,Limited-Service Restaurants
NEVER ENOUGH COFFEE CREATIONS,SEATTLE,98117-2239,19970101,,Graphic Design Services
CATHERINES CUSTOM COFFEE LLC,GRAHAM,98338-6721,20230923,,Mobile Food Services
CEDAR & SPOKES COFFEE,SEATTLE,98121,20181001,,Snack and Nonalcoholic Beverage Bars
CHERRY STREET COFFEE HOUSE MELROSE,SEATTLE,98122-1010,20141101,,Snack and Nonalcoholic Beverage Bars
CHERRY STREET COFFEE HOUSE ON OLIVE WAY,SEATTLE,98101,20120701,,Limited-Service Restaurants
CHERRY STREET COFFEE HOUSE PIONEER SQUARE,SEATTLE,98104-2205,20120701,,Snack and Nonalcoholic Beverage Bars
CLOUD ROCK COFFEE CO,BRIER,98036-8418,20251122,,Mobile Food Services
COFFEE BADGER LLC,SEATTLE,98106-2313,20251001,,Human Resources Consulting Services
COFFEE GROUNDS GARDEN DESIGN LLC,KENT,98042,20150506,,Landscaping Services
COFFEE MEDICS,RENO,89511-1847,20241001,,Appliance Repair and Maintenance
COFFEE MEETS BAGEL,SACRAMENTO,95816,20170116,,All Other Personal Services
COFFEE PHYSICS LLC,TUKWILA,98188-2922,20110801,,"All Other Professional, Scientific, and Technical Services"
COFFEE SHOP CONSULTING LLC,SEATTLE,98103-8708,20241001,,Administrative Management and General Management Consulting Services
COFFEE TAB,SEATTLE,98121-2235,20231011,,Drinking Places (Alcoholic Beverages)
COFFEE TREE & BOP,SEATTLE,98104-1132,20210331,,Limited-Service Restaurants
COFFEE TREE & POKE,SEATTLE,98104-2005,20160620,,Snack and Nonalcoholic Beverage Bars
COFFEE TREE,SEATTLE,98104-1220,20160915,,Snack and Nonalcoholic Beverage Bars
DISTANT WORLDS COFFEEHOUSE,SEATTLE,98115-6657,20190320,,Snack and Nonalcoholic Beverage Bars
COFFEEHOLIC HOUSE LLC,SEATTLE,98108-5214,20230401,,Coffee and Tea Manufacturing
COFFEEHOLIC HOUSE LLC,SEATTLE,98103-3613,20211001,,"Cafeterias, Grill Buffets, and Buffets"
COFFEEHOLIC HOUSE LLC,SEATTLE,98118-1991,20200317,,"Cafeterias, Grill Buffets, and Buffets"
COFFEEHOLIC HOUSE LLC,SEATTLE,98103-7680,20250717,,Snack and Nonalcoholic Beverage Bars
COLD PLUNGE COFFEE,SHORELINE,98133-4227,20240701,,Snack and Nonalcoholic Beverage Bars
CONDUIT COFFEE COMPANY,SEATTLE,98134-1637,20120401,,Coffee and Tea Manufacturing
CONVOY COFFEE LLC DBA SALMONBERRY GOODS,SEATTLE,98107-4545,20140501,,Mobile Food Services
COUNTER CULTURE COFFEE,SEATTLE,98104-2505,20170115,,Coffee and Tea Manufacturing
CREATURE COFFEE CO,SEATTLE,98108-4579,20240111,,Caterers
CUPPY'S COFFEE,MAPLE VALLEY,98038-4500,20251228,,Mobile Food Services
CURRENT COFFEE LLC,SEATTLE,98116-3595,20211015,,Snack and Nonalcoholic Beverage Bars
DAIGER COFFEE CO LLC,SEATTLE,98107-3742,20160515,,Snack and Nonalcoholic Beverage Bars
DEADBOLT COFFEE CO,KENT,98032-4119,20241207,,Mobile Food Services
DERIVATIVE COFFEE ROASTERS,SEATTLE,98136,20240101,,Coffee and Tea Manufacturing
DREAM CATCHER COFFEE COMPANY,SEATTLE,98112-3241,20230401,,Food Service Contractors
DRINKING BUDDIES COFFEE,SNOHOMISH,98290-2635,20250820,,Coffee and Tea Manufacturing
